,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Sales
1080,FDC35,0.5,Low Fat,0.122242847,Starchy Foods,207.5638,OUT027,1985,Medium,Tier 3,Supermarket Type3,2466.0
1081,FDV43,1.3,Low Fat,0.076975118,Fruits and Vegetables,46.2086,OUT049,1999,Medium,Tier 1,Supermarket Type1,395.0
1082,DRE12,2.6,Low Fat,0.070890602,Soft Drinks,111.686,OUT049,1999,Medium,Tier 1,Supermarket Type1,976.0
1083,DRE27,2.9,Low Fat,0.132560174,Dairy,97.2726,OUT013,1987,High,Tier 3,Supermarket Type1,1121.0
1084,DRC36,0.4,Regular,0.044767032,Soft Drinks,173.7054,OUT027,1985,Medium,Tier 3,Supermarket Type3,1949.0
1085,FDZ38,2.6,Low Fat,0.007962273,Dairy,174.0422,OUT027,1985,Medium,Tier 3,Supermarket Type3,1742.0
1086,NCW42,1.3,Low Fat,0.058799705,Household,220.7456,OUT017,2007,Medium,Tier 2,Supermarket Type1,3158.0
1087,NCZ18,3.2,Low Fat,0.186445212,Household,255.5698,OUT045,2002,Medium,Tier 2,Supermarket Type1,4100.0
1088,FDL13,1.9,Regular,0.098606543,Breakfast,232.73,OUT019,1985,Small,Tier 1,Grocery Store,3153.0
1089,NCN18,0.9,Low Fat,0.125222705,Household,113.3544,OUT018,2009,Medium,Tier 3,Supermarket Type2,906.0
1090,FDI41,1.6,Regular,0.062609071,Frozen Foods,148.6418,OUT017,2007,Medium,Tier 2,Supermarket Type1,1377.0
1091,FDV22,2.9,Regular,0.009930514,Snack Foods,157.463,OUT013,1987,High,Tier 3,Supermarket Type1,1952.0
1092,NCB43,1.8,Low Fat,0.099428487,Household,187.8898,OUT027,1985,Medium,Tier 3,Supermarket Type3,2145.0
1093,FDQ46,0.5,Low Fat,0.103793399,Snack Foods,110.1544,OUT035,2004,Small,Tier 2,Supermarket Type1,988.0
1094,FDC44,3.3,Low Fat,0.0,Fruits and Vegetables,111.9518,OUT049,1999,Medium,Tier 1,Supermarket Type1,1082.0
1095,FDB22,0.9,Low Fat,0.111419588,Snack Foods,154.3998,OUT035,2004,Small,Tier 2,Supermarket Type1,1898.0
1096,FDV23,2.8,Low Fat,0.106051405,Breads,124.4046,OUT045,2002,Medium,Tier 2,Supermarket Type1,1418.0
1097,FDK10,2.8,Regular,0.04016342,Snack Foods,181.166,OUT027,1985,Medium,Tier 3,Supermarket Type3,2098.0
1098,FDF05,1.0,Low Fat,0.026925385,Frozen Foods,264.391,OUT045,2002,Medium,Tier 2,Supermarket Type1,4163.0
1099,FDL33,0.4,Low Fat,0.099962524,Snack Foods,193.8452,OUT046,1997,Small,Tier 1,Supermarket Type1,2377.0
1100,FDD20,2.8,Low Fat,0.020614212,Fruits and Vegetables,126.4046,OUT027,1985,Medium,Tier 3,Supermarket Type3,1514.0
1101,NCM54,3.3,Low Fat,0.050692386,Household,125.6678,OUT027,1985,Medium,Tier 3,Supermarket Type3,1383.0
1102,FDW48,3.1,Low Fat,0.008589133,Baking Goods,81.0618,OUT017,2007,Medium,Tier 2,Supermarket Type1,760.0
1103,DRF36,3.1,Low Fat,0.023673342,Soft Drinks,189.0846,OUT018,2009,Medium,Tier 3,Supermarket Type2,2137.0
1104,NCM06,1.8,Low Fat,0.075881475,Household,155.2656,OUT045,2002,Medium,Tier 2,Supermarket Type1,1741.0
1105,NCA54,2.4,Low Fat,0.061330521,Household,178.7318,OUT010,1998,Medium,Tier 3,Grocery Store,1973.0
1106,FDT46,1.9,Low Fat,0.030869612,Snack Foods,49.8008,OUT045,2002,Medium,Tier 2,Supermarket Type1,316.0
1107,FDH20,2.0,Regular,0.024944396,Fruits and Vegetables,95.441,OUT035,2004,Small,Tier 2,Supermarket Type1,973.0
1108,FDT38,3.3,Low Fat,0.057654132,Dairy,83.1566,OUT045,2002,Medium,Tier 2,Supermarket Type1,744.0
1109,NCI17,2.0,Low Fat,0.143713508,Health and Hygiene,96.641,OUT045,2002,Medium,Tier 2,Supermarket Type1,918.0
1110,FDO40,2.8,Low Fat,0.032812669,Frozen Foods,147.1392,OUT017,2007,Medium,Tier 2,Supermarket Type1,1521.0
1111,FDP12,2.1,Regular,0.045266806,Baking Goods,36.9874,OUT046,1997,Small,Tier 1,Supermarket Type1,331.0
1112,FDI44,1.8,Low Fat,0.099747488,Fruits and Vegetables,75.2328,OUT027,1985,Medium,Tier 3,Supermarket Type3,449.0
1113,FDB21,3.1,Low Fat,0.0,Fruits and Vegetables,242.9854,OUT027,1985,Medium,Tier 3,Supermarket Type3,3886.0
1114,FDG16,2.1,Low Fat,0.089742065,Frozen Foods,213.7192,OUT013,1987,High,Tier 3,Supermarket Type1,2704.0
1115,NCZ42,3.2,Low Fat,0.011351778,Household,236.5248,OUT017,2007,Medium,Tier 2,Supermarket Type1,3133.0
1116,NCJ30,2.8,Low Fat,0.081096613,Household,170.379,OUT017,2007,Medium,Tier 2,Supermarket Type1,1759.0
1117,FDV49,1.6,Low Fat,0.025827199,Canned,263.2226,OUT046,1997,Small,Tier 1,Supermarket Type1,4163.0
1118,NCO43,3.1,Low Fat,0.0,Others,103.1016,OUT045,2002,Medium,Tier 2,Supermarket Type1,1160.0
1119,NCF18,3.3,Low Fat,0.148938624,Household,191.9504,OUT010,1998,Medium,Tier 3,Grocery Store,2076.0
1120,NCX41,0.4,Low Fat,0.0,Health and Hygiene,211.0244,OUT010,1998,Medium,Tier 3,Grocery Store,2593.0
1121,FDY11,2.4,Regular,0.029535852,Baking Goods,67.5142,OUT013,1987,High,Tier 3,Supermarket Type1,447.0
1122,FDU46,2.7,Regular,0.011143599,Snack Foods,88.254,OUT049,1999,Medium,Tier 1,Supermarket Type1,795.0
1123,NCI18,2.0,Low Fat,0.014045832,Household,222.7746,OUT049,1999,Medium,Tier 1,Supermarket Type1,3015.0
1124,FDL38,1.3,Regular,0.014730322,Canned,90.9172,OUT035,2004,Small,Tier 2,Supermarket Type1,1125.0
1125,FDY60,0.9,Regular,0.026520107,Baking Goods,144.8128,OUT017,2007,Medium,Tier 2,Supermarket Type1,1440.0
1126,FDF53,2.6,Regular,0.083736551,Frozen Foods,178.7318,OUT049,1999,Medium,Tier 1,Supermarket Type1,1952.0
1127,NCM05,2.5,Low Fat,0.059557164,Health and Hygiene,263.7226,OUT027,1985,Medium,Tier 3,Supermarket Type3,4078.0
1128,FDR13,1.2,Regular,0.028837829,Canned,117.8492,OUT018,2009,Medium,Tier 3,Supermarket Type2,939.0
1129,FDA49,3.1,Low Fat,0.113669629,Canned,89.0198,OUT019,1985,Small,Tier 1,Grocery Store,738.0
1130,FDY52,2.4,Low Fat,0.012865901,Frozen Foods,59.3536,OUT019,1985,Small,Tier 1,Grocery Store,405.0
1131,FDL02,1.4,Regular,0.182236555,Canned,107.1622,OUT019,1985,Small,Tier 1,Grocery Store,1149.0
1132,FDO24,3.1,Low Fat,0.176069023,Baking Goods,156.7604,OUT013,1987,High,Tier 3,Supermarket Type1,1885.0
1133,FDM08,0.7,Regular,0.053574075,Fruits and Vegetables,223.7088,OUT035,2004,Small,Tier 2,Supermarket Type1,3163.0
1134,FDJ02,2.7,Regular,0.044063785,Canned,147.2418,OUT019,1985,Small,Tier 1,Grocery Store,1543.0
1135,FDW40,0.4,Regular,0.105573769,Frozen Foods,143.9812,OUT018,2009,Medium,Tier 3,Supermarket Type2,1493.0
1136,FDT46,2.0,Low Fat,0.030657949,Snack Foods,50.5008,OUT027,1985,Medium,Tier 3,Supermarket Type3,383.0
1137,FDY08,3.1,Regular,0.172042892,Fruits and Vegetables,139.9838,OUT017,2007,Medium,Tier 2,Supermarket Type1,1577.0
1138,FDM21,2.0,Low Fat,0.064052392,Snack Foods,256.1646,OUT027,1985,Medium,Tier 3,Supermarket Type3,4163.0
1139,FDH26,3.2,Regular,0.034531702,Canned,142.2496,OUT027,1985,Medium,Tier 3,Supermarket Type3,1575.0
1140,NCM42,1.9,Low Fat,0.028365524,Household,110.0912,OUT049,1999,Medium,Tier 1,Supermarket Type1,915.0
1141,FDW13,2.4,Low Fat,0.097866209,Canned,51.1324,OUT035,2004,Small,Tier 2,Supermarket Type1,417.0
1142,FDN04,3.2,Regular,0.01401884,Frozen Foods,178.1344,OUT027,1985,Medium,Tier 3,Supermarket Type3,1831.0
1143,NCD07,2.5,Low Fat,0.0,Household,114.4518,OUT046,1997,Small,Tier 1,Supermarket Type1,1124.0
1144,FDB34,1.2,Low Fat,0.044539371,Snack Foods,85.3198,OUT010,1998,Medium,Tier 3,Grocery Store,788.0
1145,FDD09,1.3,Low Fat,0.0,Fruits and Vegetables,179.9976,OUT013,1987,High,Tier 3,Supermarket Type1,1912.0
1146,DRH59,2.7,Low Fat,0.0,Hard Drinks,72.338,OUT049,1999,Medium,Tier 1,Supermarket Type1,460.0
1147,DRN36,3.3,Low Fat,0.050168354,Soft Drinks,95.3752,OUT035,2004,Small,Tier 2,Supermarket Type1,961.0
1148,DRA24,1.4,Regular,0.040154087,Soft Drinks,164.6868,OUT017,2007,Medium,Tier 2,Supermarket Type1,1908.0
1149,FDY36,1.0,Low Fat,0.009364957,Baking Goods,74.238,OUT027,1985,Medium,Tier 3,Supermarket Type3,518.0
1150,FDG34,0.9,Regular,0.037539164,Snack Foods,106.9254,OUT013,1987,High,Tier 3,Supermarket Type1,929.0
1151,FDK43,2.8,Low Fat,0.026992588,Meat,127.302,OUT017,2007,Medium,Tier 2,Supermarket Type1,1501.0
1152,NCM06,2.0,Low Fat,0.076156245,Household,156.4656,OUT017,2007,Medium,Tier 2,Supermarket Type1,1746.0
1153,FDK22,2.7,Low Fat,0.026192765,Snack Foods,215.685,OUT018,2009,Medium,Tier 3,Supermarket Type2,2462.0
1154,FDF21,3.2,Regular,0.058542509,Fruits and Vegetables,188.353,OUT027,1985,Medium,Tier 3,Supermarket Type3,2104.0
1155,FDO33,1.9,Low Fat,0.089686322,Snack Foods,115.3518,OUT018,2009,Medium,Tier 3,Supermarket Type2,1057.0
1156,NCO43,2.3,Low Fat,0.047364617,Others,100.0016,OUT017,2007,Medium,Tier 2,Supermarket Type1,1051.0
1157,FDX15,0.5,Low Fat,0.156269303,Meat,159.6578,OUT035,2004,Small,Tier 2,Supermarket Type1,1722.0
1158,FDS10,2.7,Low Fat,0.035185588,Snack Foods,181.3318,OUT046,1997,Small,Tier 1,Supermarket Type1,2296.0
1159,FDD46,1.6,Low Fat,0.19453961000000003,Snack Foods,152.3998,OUT019,1985,Small,Tier 1,Grocery Store,1848.0
1160,FDV22,3.1,Regular,0.009979271,Snack Foods,155.763,OUT018,2009,Medium,Tier 3,Supermarket Type2,1744.0
1161,NCR29,1.2,Low Fat,0.054863459,Health and Hygiene,58.393,OUT018,2009,Medium,Tier 3,Supermarket Type2,400.0
1162,FDU34,1.8,Low Fat,0.075620262,Snack Foods,123.8046,OUT017,2007,Medium,Tier 2,Supermarket Type1,1381.0
1163,FDZ35,2.0,Regular,0.02236923,Breads,104.799,OUT018,2009,Medium,Tier 3,Supermarket Type2,1014.0
1164,FDA26,1.6,Regular,0.073906461,Dairy,218.4482,OUT035,2004,Small,Tier 2,Supermarket Type1,2707.0
1165,FDP38,3.3,Low Fat,0.032283676,Canned,52.2008,OUT017,2007,Medium,Tier 2,Supermarket Type1,426.0
1166,FDT22,1.9,Low Fat,0.11207602,Snack Foods,58.022,OUT035,2004,Small,Tier 2,Supermarket Type1,388.0
1167,FDA50,2.8,Low Fat,0.087668236,Dairy,94.941,OUT017,2007,Medium,Tier 2,Supermarket Type1,1112.0
1168,FDY10,3.3,Low Fat,0.049067877,Snack Foods,115.6176,OUT046,1997,Small,Tier 1,Supermarket Type1,1121.0
1169,FDC09,0.9,Regular,0.026355345,Fruits and Vegetables,100.8332,OUT045,2002,Medium,Tier 2,Supermarket Type1,1013.0
1170,FDT19,2.2,Regular,0.145631695,Fruits and Vegetables,172.808,OUT018,2009,Medium,Tier 3,Supermarket Type2,1701.0
1171,FDO34,1.4,Low Fat,0.029793955,Snack Foods,167.2816,OUT027,1985,Medium,Tier 3,Supermarket Type3,1833.0
1172,NCV54,2.7,Low Fat,0.033160417,Household,119.6124,OUT049,1999,Medium,Tier 1,Supermarket Type1,1078.0
1173,FDH57,0.9,Low Fat,0.035574413,Fruits and Vegetables,131.4284,OUT027,1985,Medium,Tier 3,Supermarket Type3,1303.0
1174,FDA28,3.2,Regular,0.047801883,Frozen Foods,127.4362,OUT046,1997,Small,Tier 1,Supermarket Type1,1414.0
1175,FDB05,2.9,Low Fat,0.083198341,Frozen Foods,246.0776,OUT046,1997,Small,Tier 1,Supermarket Type1,4163.0
1176,FDK45,3.3,Low Fat,0.059281315,Seafood,111.586,OUT019,1985,Small,Tier 1,Grocery Store,1060.0
1177,DRH01,1.0,Low Fat,0.171417316,Soft Drinks,173.0738,OUT019,1985,Small,Tier 1,Grocery Store,1906.0
1178,FDY52,1.3,Low Fat,0.007348286,Frozen Foods,62.8536,OUT046,1997,Small,Tier 1,Supermarket Type1,540.0
1179,FDR48,3.1,Low Fat,0.0,Baking Goods,152.6024,OUT035,2004,Small,Tier 2,Supermarket Type1,1796.0
1180,FDY15,1.4,Regular,0.170795745,Dairy,154.463,OUT035,2004,Small,Tier 2,Supermarket Type1,1936.0
1181,FDM51,2.9,Regular,0.025966531,Meat,102.2674,OUT049,1999,Medium,Tier 1,Supermarket Type1,1177.0
1182,FDR43,3.1,Low Fat,0.161489509,Fruits and Vegetables,37.619,OUT046,1997,Small,Tier 1,Supermarket Type1,305.0
1183,FDW09,3.3,Regular,0.025899245,Snack Foods,81.1302,OUT013,1987,High,Tier 3,Supermarket Type1,668.0
1184,FDV44,2.7,Regular,0.039906377,Fruits and Vegetables,191.3188,OUT049,1999,Medium,Tier 1,Supermarket Type1,2277.0
1185,DRH37,3.2,Low Fat,0.072864869,Soft Drinks,165.2526,OUT019,1985,Small,Tier 1,Grocery Store,1812.0
1186,FDZ47,2.8,Regular,0.079419755,Baking Goods,99.8042,OUT049,1999,Medium,Tier 1,Supermarket Type1,903.0
1187,NCP43,1.3,Low Fat,0.03050705,Others,180.366,OUT046,1997,Small,Tier 1,Supermarket Type1,2303.0
1188,FDL26,2.4,Low Fat,0.073490977,Canned,157.3972,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.0
1189,DRM35,0.4,Low Fat,0.070843019,Hard Drinks,177.7344,OUT017,2007,Medium,Tier 2,Supermarket Type1,1994.0
1190,FDM39,0.5,Low Fat,0.053688479,Dairy,178.3002,OUT018,2009,Medium,Tier 3,Supermarket Type2,1765.0
1191,DRD15,1.3,Low Fat,0.056911107,Dairy,233.9642,OUT045,2002,Medium,Tier 2,Supermarket Type1,3193.0
1192,NCK06,1.3,Low Fat,0.014472516,Household,122.0756,OUT010,1998,Medium,Tier 3,Grocery Store,1588.0
1193,FDV04,3.2,Regular,0.150319469,Frozen Foods,156.9288,OUT045,2002,Medium,Tier 2,Supermarket Type1,1788.0
1194,FDG46,0.9,Regular,0.032750291,Snack Foods,112.1518,OUT027,1985,Medium,Tier 3,Supermarket Type3,1182.0
1195,FDO19,2.9,Regular,0.016622448,Fruits and Vegetables,50.2034,OUT049,1999,Medium,Tier 1,Supermarket Type1,506.0
1196,NCN05,1.3,Low Fat,0.014482153,Health and Hygiene,182.295,OUT049,1999,Medium,Tier 1,Supermarket Type1,2353.0
1197,DRA12,3.2,Low Fat,0.0,Soft Drinks,141.6154,OUT045,2002,Medium,Tier 2,Supermarket Type1,1487.0
1198,FDJ02,3.2,Regular,0.025205909,Canned,149.1418,OUT049,1999,Medium,Tier 1,Supermarket Type1,1379.0
1199,NCK17,1.8,Low Fat,0.037971697,Health and Hygiene,38.948,OUT045,2002,Medium,Tier 2,Supermarket Type1,343.0
1200,FDO58,2.2,Low Fat,0.039544237,Snack Foods,163.6526,OUT013,1987,High,Tier 3,Supermarket Type1,1951.0
1201,FDB22,3.3,Low Fat,0.111613921,Snack Foods,152.6998,OUT049,1999,Medium,Tier 1,Supermarket Type1,1983.0
1202,FDG33,2.2,Regular,0.140524691,Seafood,172.7764,OUT045,2002,Medium,Tier 2,Supermarket Type1,1990.0
1203,FDK58,1.3,Regular,0.045073782,Snack Foods,101.9016,OUT045,2002,Medium,Tier 2,Supermarket Type1,1108.0
1204,DRH49,0.7,Low Fat,0.043168763,Soft Drinks,82.8592,OUT019,1985,Small,Tier 1,Grocery Store,768.0
1205,FDT43,1.4,Low Fat,0.020547951,Fruits and Vegetables,51.2324,OUT046,1997,Small,Tier 1,Supermarket Type1,537.0
1206,NCR38,2.6,Low Fat,0.113694957,Household,253.4724,OUT049,1999,Medium,Tier 1,Supermarket Type1,3584.0
1207,DRI39,3.2,Low Fat,0.097043739,Dairy,57.493,OUT035,2004,Small,Tier 2,Supermarket Type1,457.0
1208,NCZ05,1.5,Low Fat,0.058121214,Health and Hygiene,104.499,OUT035,2004,Small,Tier 2,Supermarket Type1,1185.0
1209,FDU21,0.9,Regular,0.07665661,Snack Foods,32.3558,OUT013,1987,High,Tier 3,Supermarket Type1,276.0
1210,NCP54,3.3,Low Fat,0.035204319,Household,122.873,OUT049,1999,Medium,Tier 1,Supermarket Type1,1392.0
1211,NCX29,3.1,Low Fat,0.089333332,Health and Hygiene,145.6102,OUT045,2002,Medium,Tier 2,Supermarket Type1,1428.0
1212,FDV01,0.5,Regular,0.0,Canned,153.3314,OUT017,2007,Medium,Tier 2,Supermarket Type1,1742.0
1213,NCS17,3.1,Low Fat,0.080956792,Health and Hygiene,95.2436,OUT017,2007,Medium,Tier 2,Supermarket Type1,1137.0
1214,NCN07,2.2,Low Fat,0.03391645,Others,130.9284,OUT013,1987,High,Tier 3,Supermarket Type1,1324.0
1215,FDB14,3.1,Regular,0.102704495,Canned,94.312,OUT035,2004,Small,Tier 2,Supermarket Type1,1025.0
1216,NCJ18,3.1,Low Fat,0.163910938,Household,119.2124,OUT035,2004,Small,Tier 2,Supermarket Type1,1127.0
1217,FDF57,0.9,Regular,0.058827383,Fruits and Vegetables,172.2448,OUT046,1997,Small,Tier 1,Supermarket Type1,1990.0
1218,DRG01,1.9,Low Fat,0.044840933,Soft Drinks,78.367,OUT013,1987,High,Tier 3,Supermarket Type1,451.0
1219,FDA02,3.2,Regular,0.029843736,Dairy,143.9786,OUT018,2009,Medium,Tier 3,Supermarket Type2,1459.0
1220,DRJ37,3.2,Low Fat,0.061446997,Soft Drinks,150.4024,OUT017,2007,Medium,Tier 2,Supermarket Type1,1724.0
1221,NCP55,0.4,Low Fat,0.011180713,Others,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,434.0
1222,FDW45,2.3,Low Fat,0.038822077,Snack Foods,147.7418,OUT027,1985,Medium,Tier 3,Supermarket Type3,1438.0
1223,FDK38,2.4,Low Fat,0.053397989,Canned,149.3734,OUT045,2002,Medium,Tier 2,Supermarket Type1,1558.0
1224,NCZ30,1.6,Low Fat,0.043828293,Household,121.4098,OUT010,1998,Medium,Tier 3,Grocery Store,1347.0
1225,FDK08,2.6,Regular,0.19453961000000003,Fruits and Vegetables,102.4016,OUT019,1985,Small,Tier 1,Grocery Store,1108.0
1226,DRY23,3.3,Regular,0.109075742,Soft Drinks,42.9112,OUT035,2004,Small,Tier 2,Supermarket Type1,281.0
1227,FDT31,0.5,Low Fat,0.012448294,Fruits and Vegetables,188.2872,OUT046,1997,Small,Tier 1,Supermarket Type1,2211.0
1228,FDU52,3.1,Low Fat,0.064030636,Frozen Foods,154.463,OUT018,2009,Medium,Tier 3,Supermarket Type2,1898.0
1229,NCG19,3.1,Low Fat,0.14781046,Household,234.8616,OUT013,1987,High,Tier 3,Supermarket Type1,3428.0
1230,NCR30,1.3,Low Fat,0.071136948,Household,76.3696,OUT045,2002,Medium,Tier 2,Supermarket Type1,475.0
1231,FDN23,3.1,Regular,0.07566089,Breads,145.4444,OUT045,2002,Medium,Tier 2,Supermarket Type1,1418.0
1232,FDQ01,3.3,Regular,0.16102755,Canned,254.1014,OUT045,2002,Medium,Tier 2,Supermarket Type1,4163.0
1233,FDO22,3.1,Regular,0.029893094,Snack Foods,81.096,OUT010,1998,Medium,Tier 3,Grocery Store,688.0
1234,DRE13,3.3,Low Fat,0.027761289,Soft Drinks,85.8198,OUT045,2002,Medium,Tier 2,Supermarket Type1,794.0
1235,FDL44,3.2,Low Fat,0.012272797,Fruits and Vegetables,160.2894,OUT035,2004,Small,Tier 2,Supermarket Type1,1752.0
1236,FDT34,2.3,Low Fat,0.174317307,Snack Foods,106.7964,OUT035,2004,Small,Tier 2,Supermarket Type1,914.0
1237,DRM23,1.0,Low Fat,0.135707553,Hard Drinks,170.6422,OUT035,2004,Small,Tier 2,Supermarket Type1,1890.0
1238,FDF32,0.5,Low Fat,0.068219025,Fruits and Vegetables,198.9426,OUT045,2002,Medium,Tier 2,Supermarket Type1,2355.0
1239,NCE18,2.2,Low Fat,0.021468792,Household,251.675,OUT045,2002,Medium,Tier 2,Supermarket Type1,3599.0
1240,FDA51,0.4,Regular,0.163882129,Dairy,113.2518,OUT027,1985,Medium,Tier 3,Supermarket Type3,1122.0
1241,DRZ24,0.9,Low Fat,0.082250143,Soft Drinks,118.344,OUT017,2007,Medium,Tier 2,Supermarket Type1,936.0
1242,FDT48,3.1,Low Fat,0.046026479,Baking Goods,196.5084,OUT049,1999,Medium,Tier 1,Supermarket Type1,2383.0
1243,DRG11,3.1,Low Fat,0.0,Hard Drinks,108.9596,OUT046,1997,Small,Tier 1,Supermarket Type1,1076.0
1244,FDE58,2.9,Low Fat,0.052149675,Snack Foods,118.3124,OUT049,1999,Medium,Tier 1,Supermarket Type1,935.0
1245,DRA12,3.3,Low Fat,0.040911824,Soft Drinks,142.3154,OUT013,1987,High,Tier 3,Supermarket Type1,1574.0
1246,FDP60,2.5,Low Fat,0.056235142,Baking Goods,102.0016,OUT017,2007,Medium,Tier 2,Supermarket Type1,973.0
1247,FDT10,2.4,Regular,0.062170334,Snack Foods,60.9562,OUT045,2002,Medium,Tier 2,Supermarket Type1,469.0
1248,FDE05,0.4,Regular,0.032427039,Frozen Foods,147.7102,OUT013,1987,High,Tier 3,Supermarket Type1,1354.0
1249,FDC32,1.9,Low Fat,0.099309997,Fruits and Vegetables,91.4462,OUT045,2002,Medium,Tier 2,Supermarket Type1,1098.0
1250,FDJ22,3.1,Low Fat,0.05310896,Snack Foods,193.6504,OUT017,2007,Medium,Tier 2,Supermarket Type1,2291.0
1251,NCH18,3.3,Low Fat,0.044843161,Household,246.1802,OUT018,2009,Medium,Tier 3,Supermarket Type2,3964.0
1252,DRE37,3.1,Low Fat,0.164966345,Soft Drinks,189.4872,OUT019,1985,Small,Tier 1,Grocery Store,2162.0
1253,DRC13,2.0,Regular,0.032435437,Soft Drinks,124.873,OUT035,2004,Small,Tier 2,Supermarket Type1,1557.0
1254,FDG47,3.1,Low Fat,0.06961884,Starchy Foods,260.3252,OUT046,1997,Small,Tier 1,Supermarket Type1,4163.0
1255,FDY55,2.8,Low Fat,0.08165147,Fruits and Vegetables,258.3988,OUT018,2009,Medium,Tier 3,Supermarket Type2,3821.0
1256,NCW29,3.3,Low Fat,0.028723187,Health and Hygiene,131.831,OUT027,1985,Medium,Tier 3,Supermarket Type3,1494.0
1257,NCT05,2.0,Low Fat,0.020994339,Health and Hygiene,255.6672,OUT045,2002,Medium,Tier 2,Supermarket Type1,3910.0
1258,FDN50,1.4,Regular,0.026561057,Canned,93.712,OUT049,1999,Medium,Tier 1,Supermarket Type1,1094.0
1259,FDU60,3.1,Regular,0.100262068,Baking Goods,169.6132,OUT010,1998,Medium,Tier 3,Grocery Store,1917.0
1260,FDX02,2.8,Low Fat,0.057012606,Dairy,225.0404,OUT013,1987,High,Tier 3,Supermarket Type1,3047.0
1261,FDL34,2.3,Low Fat,0.041009558,Snack Foods,141.2496,OUT049,1999,Medium,Tier 1,Supermarket Type1,1514.0
1262,DRF27,1.0,Low Fat,0.028578012,Dairy,152.234,OUT017,2007,Medium,Tier 2,Supermarket Type1,1823.0
1263,FDZ35,3.2,Regular,0.0,Breads,101.699,OUT049,1999,Medium,Tier 1,Supermarket Type1,1109.0
1264,DRF03,1.2,Low Fat,0.045088724,Dairy,39.7138,OUT027,1985,Medium,Tier 3,Supermarket Type3,309.0
1265,NCO41,0.5,Low Fat,0.018757586,Health and Hygiene,96.9384,OUT027,1985,Medium,Tier 3,Supermarket Type3,917.0
1266,FDQ59,1.6,Regular,0.056500895,Breads,85.8908,OUT045,2002,Medium,Tier 2,Supermarket Type1,614.0
1267,NCZ53,3.1,Low Fat,0.024576875,Health and Hygiene,186.6214,OUT018,2009,Medium,Tier 3,Supermarket Type2,2328.0
1268,FDZ33,3.3,Low Fat,0.188038372,Snack Foods,146.4076,OUT019,1985,Small,Tier 1,Grocery Store,1322.0
1269,FDD34,0.9,Low Fat,0.015908485,Snack Foods,161.421,OUT045,2002,Medium,Tier 2,Supermarket Type1,1931.0
1270,NCM06,2.3,Low Fat,0.075845634,Household,156.0656,OUT049,1999,Medium,Tier 1,Supermarket Type1,1850.0
1271,FDY43,3.1,Low Fat,0.098803088,Fruits and Vegetables,169.7474,OUT018,2009,Medium,Tier 3,Supermarket Type2,1944.0
1272,DRM23,0.4,Low Fat,0.19453961000000003,Hard Drinks,173.9422,OUT010,1998,Medium,Tier 3,Grocery Store,1928.0
1273,FDT20,2.1,Low Fat,0.041459804,Fruits and Vegetables,39.2164,OUT049,1999,Medium,Tier 1,Supermarket Type1,378.0
1274,FDG46,1.8,Regular,0.032882271,Snack Foods,113.5518,OUT013,1987,High,Tier 3,Supermarket Type1,1113.0
1275,FDH10,3.2,Low Fat,0.049583899,Snack Foods,193.8478,OUT017,2007,Medium,Tier 2,Supermarket Type1,2254.0
1276,FDF24,2.4,Regular,0.02536567,Baking Goods,82.7934,OUT035,2004,Small,Tier 2,Supermarket Type1,715.0
1277,FDG57,2.2,Low Fat,0.07229836,Fruits and Vegetables,48.2034,OUT046,1997,Small,Tier 1,Supermarket Type1,243.0
1278,FDN44,1.5,Low Fat,0.022924552,Fruits and Vegetables,157.892,OUT017,2007,Medium,Tier 2,Supermarket Type1,1830.0
1279,FDD32,2.4,Regular,0.040897932,Fruits and Vegetables,82.6276,OUT013,1987,High,Tier 3,Supermarket Type1,709.0
1280,FDI04,0.9,Regular,0.127660257,Frozen Foods,198.5426,OUT019,1985,Small,Tier 1,Grocery Store,2109.0
1281,FDA56,2.8,Low Fat,0.008764786,Fruits and Vegetables,123.1414,OUT046,1997,Small,Tier 1,Supermarket Type1,1381.0
1282,DRG51,2.8,Low Fat,0.011604894,Dairy,166.0526,OUT017,2007,Medium,Tier 2,Supermarket Type1,1972.0
1283,FDZ04,0.9,Low Fat,0.038169783,Frozen Foods,64.551,OUT017,2007,Medium,Tier 2,Supermarket Type1,421.0
1284,FDT13,2.4,Low Fat,0.018568129,Canned,188.2214,OUT035,2004,Small,Tier 2,Supermarket Type1,2365.0
1285,FDY56,1.0,Regular,0.062109174,Fruits and Vegetables,223.7062,OUT027,1985,Medium,Tier 3,Supermarket Type3,3111.0
1286,FDB51,2.5,Low Fat,0.038671588,Dairy,64.2852,OUT017,2007,Medium,Tier 2,Supermarket Type1,472.0
1287,NCY29,2.3,Low Fat,0.077169841,Health and Hygiene,55.593,OUT013,1987,High,Tier 3,Supermarket Type1,511.0
1288,FDL34,1.3,Low Fat,0.041028937,Snack Foods,142.6496,OUT045,2002,Medium,Tier 2,Supermarket Type1,1314.0
1289,NCQ38,0.6,Low Fat,0.013387211,Others,105.628,OUT049,1999,Medium,Tier 1,Supermarket Type1,1143.0
